Sample OpenFAST ASCII output for Unity parser testing.
This is not a physical OpenFAST result.
Generated by the CoDesignTurbine Unity starter.
Use a real OpenFAST .out file for research.
Time Wind1VelX RotSpeed Azimuth GenPwr GenTq BldPitch1 BldPitch2 BldPitch3 PtfmSurge PtfmSway PtfmHeave PtfmRoll PtfmPitch PtfmYaw TTDspFA TTDspSS TwrBsMyt
(s) (m/s) (rpm) (deg) (kW) (kN-m) (deg) (deg) (deg) (m) (m) (m) (deg) (deg) (deg) (m) (m) (kN-m)
0.00 10.0 6.00 0.0 320.0 250.0 1.0 1.0 1.0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.0
1.00 10.5 6.60 36.0 460.0 310.0 1.2 1.2 1.2 0.015 0.001 -0.002 0.010 0.080 0.000 0.030 0.002 200.0
2.00 11.2 7.40 80.0 710.0 420.0 1.8 1.8 1.8 0.035 0.002 -0.004 0.018 0.150 0.001 0.065 0.004 410.0
3.00 12.0 8.20 130.0 1050.0 560.0 2.6 2.6 2.6 0.060 0.002 -0.005 0.024 0.230 0.002 0.110 0.004 690.0
4.00 11.4 8.90 185.0 1320.0 640.0 3.0 3.0 3.0 0.070 0.001 -0.005 0.020 0.260 0.002 0.125 0.003 780.0
5.00 10.8 8.50 240.0 1120.0 590.0 2.4 2.4 2.4 0.050 0.000 -0.003 0.012 0.180 0.001 0.080 0.001 520.0
6.00 10.0 7.70 290.0 780.0 455.0 1.7 1.7 1.7 0.025 -0.001 -0.001 0.006 0.090 0.000 0.040 -0.001 260.0
7.00 9.6 6.90 335.0 520.0 335.0 1.2 1.2 1.2 0.010 -0.001 0.000 0.002 0.030 0.000 0.015 -0.001 120.0

